pos0,pos1,neg0,neg1
achieves a sort of filmic epiphany that revels in the true potential of the medium .,what a bewilderingly brilliant and entertaining movie this is .,chan's stunts are limited and so embellished by editing that there's really not much of a sense of action or even action-comedy .,"coupling disgracefully written dialogue with flailing bodily movements that substitute for acting , circuit is the awkwardly paced soap opera-ish story ."
"the bodily function jokes are about what you'd expect , but there are rich veins of funny stuff in this movie .",one of the greatest romantic comedies of the past decade .,"a perfectly acceptable , perfectly bland , competently acted but by no means scary horror movie .","between bedroom scenes , viewers may find themselves wishing they could roll over and take a nap ."
a tasty masala .,the plot is so amusingly contrived and outlandish in its coincidences that no one could ever mistake it for anything resembling reality,"the ending doesn't work . . . but most of the movie works so well i'm almost recommending it , anyway -- maybe not to everybody , but certainly to people with a curiosity about how a movie can go very right , and then step wrong .",well-meaning but inert .
"as i settled into my world war ii memories , i found myself strangely moved by even the corniest and most hackneyed contrivances .","even when there are lulls , the emotions seem authentic , and the picture is so lovely toward the end . . . you almost don't notice the 129-minute running time .","full frontal had no effect and elicited no sympathies for any of the characters . by that measure , it is a failure .","halfway through the movie , the humor dwindles . it's replaced by some dramatic scenes that are jarring and deeply out of place in what could have ( and probably should have ) been a lighthearted comedy ."
there's none of the happily-ever -after spangle of monsoon wedding in late marriage -- and that's part of what makes dover kosashvili's outstanding feature debut so potent .,"the sight of the spaceship on the launching pad is duly impressive in imax dimensions , as are shots of the astronauts floating in their cabins .","the twist that ends the movie is the one with the most emotional resonance , but twists are getting irritating , and this is the kind of material where the filmmakers should be very careful about raising eyebrows .",the dialogue is very choppy and monosyllabic despite the fact that it is being dubbed .
both deeply weird and charmingly dear .,we want the funk - and this movie's got it .,"this would-be 'james bond for the extreme generation' pic is one big , dumb action movie . stress 'dumb . '","fails as a dystopian movie , as a retooling of fahrenheit 451 , and even as a rip-off of the matrix ."
". . . the story , like ravel's bolero , builds to a crescendo that encompasses many more paths than we started with .",its director's most substantial feature for some time .,a movie that can't get sufficient distance from leroy's delusions to escape their maudlin influence .,"this movie is so bad , that it's almost worth seeing because it's so bad ."
"witty , touching and well paced .","the emperor's club , ruthless in its own placid way , finds one of our most conservative and hidebound movie-making traditions and gives it new texture , new relevance , new reality .",the only thing scary about feardotcom is that the filmmakers and studio are brazen enough to attempt to pass this stinker off as a scary movie .,these are textbook lives of quiet desperation .
"in the new release of cinema paradiso , the tale has turned from sweet to bittersweet , and when the tears come during that final , beautiful scene , they finally feel absolutely earned .",a painfully funny ode to bad behavior .,. . . built on the premise that middle-class arkansas consists of monster truck-loving good ol' boys and peroxide blond honeys whose worldly knowledge comes from tv reruns and supermarket tabloids .,should have been someone else-
"though of particular interest to students and enthusiast of international dance and world music , the film is designed to make viewers of all ages , cultural backgrounds and rhythmic ability want to get up and dance .",. . . quite endearing .,the script is too mainstream and the psychology too textbook to intrigue .,observant intelligence constantly vies with pretension -- and sometimes plain wacky implausibility -- throughout maelstrom .
